case_id,judgment_date,judgment_year,court_name,case_number,case_name,domain,n_chars,mu_F,mu_T,pi_V,pi_C,pi_H,pi_M,H_star,mu_total,pi_total,lambda_E,lambda_M,lambda_P,sa_survey,sa_stat,sa_norm,mu_LS,has_sa_any,post_minpou_2020,court_layer,period,pi_C_v2,mu_T_v2,pi_V_v2,pi_total_v2,mu_total_v2
085394_hanrei,2015-07-14,2015,地方裁判所,平成25年(ワ)第1074号,著作権侵害差止等請求事件,civil,64616,0.10833230159712764,0.0,0.0,0.0,0.0,0.0309520861706079,0.0,0.10833230159712764,0.0309520861706079,0.09090909090909091,0.8181818181818182,0.09090909090909091,0.0,0.309520861706079,0.0619041723412158,0.3714250340472948,1,0,district,2015-2019,0.01547604308530395,0.6499938095827659,0.41785316330320665,0.4642812925591185,0.7583261111798936
085497_hanrei,2015-10-07,2015,原審・東京地方裁判所,平成27年(ネ)第10100号,特許権侵害損害賠償請求控訴事件,commercial,13473,0.37111259556149334,0.0,0.0,0.0,1.3360053440213762,0.0,0.0,0.37111259556149334,1.3360053440213762,0.0,0.8333333333333334,0.16666666666666669,0.0,0.22266755733689603,0.0,0.22266755733689603,1,0,district,2015-2019,0.07422251911229867,0.22266755733689603,0.0,1.4102278631336749,0.5937801528983894
085469_hanrei,2015-04-16,2015,名古屋高等裁判所,平成26年(う)第366号,傷害致死被告事件,criminal,19587,0.2042170827589728,0.0,0.0,0.0,0.0,0.0,0.0,0.2042170827589728,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0,0,high,2015-2019,0.0,0.765814060346148,0.3063256241384592,0.3063256241384592,0.9700311431051207
085496_hanrei,2015-09-28,2015,原審・大阪地方裁判所,平成27年(ネ)第10084号,原状回復請求控訴事件,civil,8570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.9795918367346939,0.0,0.0,0.46674445740956827,0.0,0.46674445740956827,1,0,district,2015-2019,0.11668611435239207,0.23337222870478413,0.11668611435239207,0.23337222870478413,0.23337222870478413
085415_hanrei,2015-07-08,2015,地方裁判所,平成26年(ワ)第10089号,著作権侵害差止等請求事件,civil,46539,0.021487354691763896,0.0,0.0,0.0,0.0,0.021487354691763896,0.0,0.021487354691763896,0.021487354691763896,0.4,0.0,0.6,0.0,0.17189883753411117,0.021487354691763896,0.19338619222587505,1,0,district,2015-2019,0.021487354691763896,0.04297470938352779,0.32231032037645846,0.3652850297599862,0.06446206407529169
085500_hanrei,2015-09-09,2015,知的財産高等裁判所,平成26年(行ケ)第10228号,審決取消請求事件,commercial,30930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7782088587132234,0.0,1.7782088587132234,1,0,ip_high,2015-2019,0.032331070158422244,0.35564177174264466,0.09699321047526673,0.12932428063368898,0.35564177174264466
085464_hanrei,2015-09-03,2015,原審・東京地方裁判所,平成27年(ネ)第10048号,特許権侵害差止等請求控訴事件,commercial,52342,0.1910511635015857,0.0,0.0,0.0,0.0,0.057315349050475715,0.0,0.1910511635015857,0.057315349050475715,0.13043478260869565,0.8260869565217392,0.04347826086956522,0.03821023270031715,0.17194604715142714,0.019105116350158574,0.22926139620190286,1,0,district,2015-2019,0.019105116350158574,0.2865767452523786,0.24836651255206144,0.3247869779526957,0.4776279087539643
085459_hanrei,2015-06-12,2015,地方裁判所,平成25年(ワ)第32394号,特許を受ける権利帰属確認請求事件,commercial,30886,0.0,0.03237712879621835,0.03237712879621835,0.0,0.09713138638865505,0.0,0.09713138638865505,0.03237712879621835,0.1295085151848734,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0647542575924367,0.0,0.0647542575924367,1,0,district,2015-2019,0.03237712879621835,0.7122968335168037,0.35614841675840186,0.48565693194327525,0.7122968335168037
085430_hanrei,2015-09-24,2015,東京地方裁判所,平成27年(ネ)第10083号,特許権侵害行為差止等請求控訴事件,commercial,1944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.57201646090535,0.0,2.57201646090535,1,0,district,2015-2019,1.02880658436214,0.0,0.0,1.02880658436214,0.0
085418_hanrei,2015-09-03,2015,知的財産高等裁判所,平成26年(行ケ)第10195号,審決取消請求事件,commercial,56747,0.03524415387597582,0.0,0.0,0.0,0.0,0.0,0.0,0.03524415387597582,0.0,1.0,0.0,0.0,0.0,0.01762207693798791,0.0,0.01762207693798791,1,0,ip_high,2015-2019,0.01762207693798791,0.10573246162792747,0.0,0.01762207693798791,0.14097661550390328
085518_hanrei,2015-12-03,2015,最高裁判所第一小法廷,平成26年(あ)第749号,強盗殺人被告事件,criminal,1469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,supreme,2015-2019,0.0,0.0,0.0,0.0,0.0
085488_hanrei,2015-11-20,2015,最高裁判所第二小法廷,平成26年(受)第1458号,遺言無効確認請求事件,civil,1557,0.6422607578676943,0.0,0.0,0.0,0.0,0.0,0.0,0.6422607578676943,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,supreme,2015-2019,0.0,0.0,0.0,0.0,0.6422607578676943
085371_hanrei,2015-08-27,2015,知的財産高等裁判所,平成26年(行ケ)第10255号,審決取消請求事件,commercial,31141,0.06422401335859478,0.0,0.0,0.0,0.0,0.16056003339648695,0.0,0.06422401335859478,0.16056003339648695,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,ip_high,2015-2019,0.03211200667929739,0.06422401335859478,0.35323207347227126,0.5459041135480556,0.12844802671718955
085530_hanrei,2015-09-15,2015,地方裁判所,平成26年(ワ)第9099号,不正競争行為差止等請求事件,civil,7166,0.13954786491766677,0.0,0.0,0.0,0.13954786491766677,0.13954786491766677,0.13954786491766677,0.13954786491766677,0.27909572983533354,0.0,0.9285714285714286,0.07142857142857144,0.0,0.27909572983533354,0.0,0.27909572983533354,1,0,district,2015-2019,0.13954786491766677,0.13954786491766677,0.4186435947530003,0.8372871895060007,0.27909572983533354
088098_hanrei,2018-04-25,2018,地方裁判所,平成27年(ワ)第1246号,未払割増賃金等本訴請求事件,civil,34940,0.028620492272467088,0.0,0.0,0.0,0.0,0.028620492272467088,0.0,0.028620492272467088,0.028620492272467088,0.0,0.9512195121951219,0.04878048780487805,0.0,0.6010303377218088,0.0,0.6010303377218088,1,0,district,2015-2019,0.057240984544934176,0.6296508299942759,0.2289639381797367,0.314825414997138,0.658271322266743
085547_hanrei,2015-12-16,2015,最高裁判所大法廷,平成25年(オ)第1079号,損害賠償請求事件,civil,31837,0.18845996796180545,0.0,0.09422998398090272,0.03140999466030091,0.15704997330150453,0.4083299305839118,0.21986996262210634,0.18845996796180545,0.69101988252662,0.2884615384615385,0.11538461538461539,0.5961538461538463,0.03140999466030091,0.12563997864120363,0.03140999466030091,0.18845996796180547,1,0,supreme,2015-2019,1.005119829129629,1.9788296635989573,1.5704997330150454,3.140999466030091,2.1672896315607626
085563_hanrei,2015-10-26,2015,知的財産高等裁判所,平成27年(行ケ)第10044号,審決取消請求事件,commercial,20423,0.04896440287910689,0.0,0.0,0.0,0.0,0.0,0.0,0.04896440287910689,0.0,0.2,0.0,0.8,0.0,0.0,0.09792880575821378,0.09792880575821378,1,0,ip_high,2015-2019,0.04896440287910689,0.04896440287910689,0.04896440287910689,0.09792880575821378,0.09792880575821378
085571_hanrei,2015-11-30,2015,原審・東京地方裁判所,平成27年(ネ)第10112号,"違約金請求本訴,違約金請求反訴控訴事件",civil,16981,0.23555738766857076,0.0,0.0,0.0,0.0,0.0,0.0,0.23555738766857076,0.0,0.0,0.9534883720930232,0.046511627906976744,0.0,0.4122254284199988,0.05888934691714269,0.4711147753371415,1,0,district,2015-2019,0.11777869383428538,1.118897591425711,0.5888934691714269,0.7066721630057123,1.354454979094282
085578_hanrei,2015-10-01,2015,原審・東京地方裁判所,平成27年(ネ)第10031号,特許権侵害差止等請求控訴事件,commercial,46016,0.021731571627260082,0.0,0.0,0.0,0.043463143254520165,0.260778859527121,0.043463143254520165,0.021731571627260082,0.30424200278164115,0.7083333333333334,0.0,0.2916666666666667,0.0,0.043463143254520165,0.043463143254520165,0.08692628650904033,1,0,district,2015-2019,0.021731571627260082,0.10865785813630041,0.21731571627260082,0.5432892906815021,0.1303894297635605
085538_hanrei,2015-11-24,2015,知的財産高等裁判所,平成27年(行ケ)第10119号,審決取消請求事件,commercial,17263,0.23170943636679603,0.0,0.0,0.0,0.11585471818339801,0.0,0.11585471818339801,0.23170943636679603,0.11585471818339801,0.0,0.0,1.0,0.0,0.23170943636679603,0.05792735909169901,0.289636795458495,1,0,ip_high,2015-2019,0.05792735909169901,0.0,0.34756415455019407,0.521346231825291,0.23170943636679603
