case_id,decision_date,domain,court_level,is_supreme_court,mu_F,mu_T,nu,pi_V,pi_C,pi_H,pi_M_S,pi_M_R,mu_LS,mu_TH,case_impact,case_length_days
H27-001,2015-03-12,民事,地方,0,0.12,0.18,1,0.35,0.08,0.10,0.05,0.12,0.45,0.10,0.42,180
H27-002,2015-05-22,民事,地方,0,0.15,0.15,1,0.32,0.07,0.08,0.04,0.10,0.40,0.08,0.38,210
H27-003,2015-06-30,民事,高等,0,0.10,0.20,1,0.40,0.10,0.12,0.08,0.15,0.50,0.12,0.55,250
H27-004,2015-08-15,民事,地方,0,0.13,0.16,1,0.36,0.08,0.09,0.05,0.11,0.43,0.09,0.40,195
H27-005,2015-11-03,民事,最高,1,0.08,0.25,1,0.45,0.12,0.15,0.32,0.18,0.55,0.15,0.85,400
H28-001,2016-02-18,民事,地方,0,0.14,0.17,1,0.34,0.07,0.09,0.05,0.11,0.42,0.09,0.38,200
H28-002,2016-04-25,民事,地方,0,0.11,0.19,1,0.37,0.09,0.10,0.06,0.12,0.46,0.11,0.45,220
H28-003,2016-07-10,民事,高等,0,0.09,0.21,1,0.42,0.11,0.13,0.09,0.16,0.51,0.13,0.60,275
H29-001,2017-01-20,民事,地方,0,0.13,0.18,1,0.35,0.08,0.10,0.05,0.12,0.44,0.10,0.42,210
H29-002,2017-05-15,民事,最高,1,0.07,0.26,1,0.46,0.13,0.16,0.34,0.19,0.56,0.16,0.88,420
H30-001,2018-03-08,民事,地方,0,0.14,0.17,1,0.34,0.08,0.09,0.05,0.11,0.43,0.09,0.40,205
H30-002,2018-06-22,民事,高等,0,0.10,0.20,1,0.40,0.10,0.12,0.08,0.15,0.49,0.12,0.55,260
H30-003,2018-09-30,民事,地方,0,0.12,0.18,1,0.36,0.09,0.10,0.06,0.12,0.45,0.10,0.43,215
H31-001,2019-02-14,民事,地方,0,0.13,0.17,1,0.35,0.08,0.09,0.05,0.11,0.44,0.09,0.41,200
R01-001,2019-05-30,民事,高等,0,0.09,0.21,1,0.41,0.11,0.13,0.09,0.16,0.50,0.13,0.58,270
R01-002,2019-10-15,民事,地方,0,0.11,0.19,1,0.38,0.09,0.11,0.07,0.13,0.47,0.11,0.48,230
R02-001,2020-03-12,民事,地方,0,0.14,0.16,1,0.28,0.08,0.11,0.05,0.11,0.50,0.10,0.42,205
R02-002,2020-06-25,民事,地方,0,0.13,0.15,1,0.26,0.07,0.10,0.05,0.10,0.48,0.09,0.40,200
R02-003,2020-09-18,民事,高等,0,0.10,0.17,1,0.30,0.09,0.13,0.08,0.14,0.53,0.12,0.55,250
R03-001,2021-01-25,民事,地方,0,0.12,0.16,1,0.27,0.08,0.11,0.05,0.11,0.49,0.10,0.42,210
R03-002,2021-04-10,民事,地方,0,0.13,0.15,1,0.25,0.07,0.10,0.04,0.10,0.47,0.09,0.40,205
R03-003,2021-07-22,民事,最高,1,0.07,0.22,1,0.32,0.13,0.16,0.30,0.18,0.58,0.15,0.85,400
R04-001,2022-02-15,民事,地方,0,0.13,0.16,1,0.28,0.08,0.11,0.05,0.11,0.50,0.10,0.43,215
R04-002,2022-05-30,民事,高等,0,0.09,0.18,1,0.31,0.10,0.14,0.09,0.15,0.54,0.13,0.58,265
R05-001,2023-03-20,民事,地方,0,0.12,0.17,1,0.29,0.09,0.12,0.06,0.12,0.51,0.11,0.45,225
S27-001,2015-04-15,商事,地方,0,0.08,0.35,1,0.42,0.10,0.18,0.10,0.15,0.32,0.20,0.55,180
S27-002,2015-07-28,商事,高等,0,0.06,0.40,1,0.48,0.12,0.22,0.14,0.18,0.36,0.25,0.70,240
S28-001,2016-03-10,商事,地方,0,0.09,0.34,1,0.40,0.09,0.16,0.09,0.14,0.30,0.18,0.50,170
S28-002,2016-08-22,商事,知財高等,0,0.05,0.42,1,0.50,0.13,0.32,0.16,0.20,0.38,0.30,0.80,300
S29-001,2017-04-05,商事,地方,0,0.08,0.36,1,0.43,0.10,0.20,0.10,0.16,0.33,0.22,0.58,200
S29-002,2017-09-18,商事,最高,1,0.04,0.45,1,0.55,0.15,0.35,0.40,0.22,0.40,0.32,0.92,420
S30-001,2018-02-25,商事,知財高等,0,0.05,0.41,1,0.49,0.13,0.30,0.15,0.19,0.37,0.28,0.78,295
S30-002,2018-07-12,商事,地方,0,0.07,0.37,1,0.44,0.11,0.21,0.11,0.16,0.34,0.23,0.60,210
S31-001,2019-03-30,商事,高等,0,0.06,0.39,1,0.47,0.12,0.25,0.13,0.18,0.36,0.27,0.68,235
R01-S01,2019-06-15,商事,知財高等,0,0.04,0.43,1,0.51,0.14,0.34,0.17,0.21,0.39,0.32,0.82,310
R02-S01,2020-04-20,商事,地方,0,0.07,0.38,1,0.45,0.11,0.42,0.11,0.17,0.35,0.35,0.65,225
R02-S02,2020-09-08,商事,高等,0,0.05,0.42,1,0.50,0.13,0.48,0.14,0.20,0.38,0.40,0.75,260
R03-S01,2021-05-22,商事,知財高等,0,0.04,0.44,1,0.52,0.14,0.55,0.16,0.21,0.40,0.45,0.82,300
R03-S02,2021-11-15,商事,最高,1,0.03,0.48,1,0.58,0.16,0.62,0.42,0.23,0.42,0.50,0.95,440
R04-S01,2022-04-10,商事,高等,0,0.05,0.43,1,0.51,0.13,0.52,0.14,0.19,0.38,0.43,0.78,275
A27-001,2015-04-20,行政,高等,0,0.10,0.20,1,0.30,0.85,0.15,0.10,0.15,0.55,0.15,0.65,300
A27-002,2015-09-15,行政,地方,0,0.12,0.18,1,0.28,0.82,0.12,0.08,0.13,0.50,0.12,0.55,260
A28-001,2016-05-30,行政,高等,0,0.09,0.22,1,0.32,0.88,0.18,0.12,0.17,0.58,0.18,0.70,330
A30-001,2018-07-25,行政,最高,1,0.06,0.24,1,0.35,0.92,0.22,0.35,0.20,0.62,0.22,0.92,450
R02-A01,2020-03-15,行政,高等,0,0.11,0.21,1,0.30,0.86,0.16,0.11,0.16,0.56,0.16,0.65,310
C27-001,2015-05-08,刑事,地方,0,0.15,0.05,1,0.50,0.08,0.12,0.06,0.10,0.65,0.10,0.42,180
C28-001,2016-08-22,刑事,高等,0,0.12,0.06,1,0.55,0.09,0.16,0.08,0.12,0.68,0.14,0.55,235
C30-001,2018-04-15,刑事,地方,0,0.16,0.04,1,0.48,0.07,0.10,0.05,0.09,0.62,0.08,0.38,165
R01-C01,2019-09-30,刑事,最高,1,0.08,0.08,1,0.60,0.11,0.20,0.30,0.15,0.72,0.18,0.88,420
R03-C01,2021-06-18,刑事,地方,0,0.14,0.05,1,0.52,0.08,0.13,0.07,0.11,0.66,0.12,0.45,195
